lat,lng
37.5514884,-121.9721486
37.55111,-121.9722791
37.5510001,-121.972311
37.5505937,-121.9724303
37.5504964,-121.9724504
37.5503937,-121.9724716
37.5501948,-121.9724853
37.5499496,-121.9724759
37.5498558,-121.9724687
37.5495328,-121.9724171
37.5492239,-121.9723287
37.5491248,-121.9723004
37.5489233,-121.9722634
37.5488073,-121.9720408
37.5487735,-121.9719521
37.5487354,-121.9718792
37.5484886,-121.9714017
37.5483647,-121.9711626
37.5483183,-121.9710722
37.5480166,-121.9704875
37.547717,-121.9699063
37.5475408,-121.9695645
37.5473219,-121.9691437
37.5472734,-121.9690531
37.5472655,-121.9690385
37.5472019,-121.9689207
37.5471622,-121.9688493
37.5471233,-121.968781
37.5470869,-121.9687179
37.5470071,-121.9685812
37.5469313,-121.9684522
37.5468931,-121.968387
37.5468526,-121.9683194
37.5467724,-121.9681891
37.546691,-121.9680583
37.5466756,-121.9680336
37.5466097,-121.9679318
37.5465273,-121.9678049
37.5464474,-121.9676806
37.546387,-121.9675845
37.5463281,-121.9674865
37.5461542,-121.9671984
37.5461076,-121.9671237
37.546089,-121.9670947
37.5457572,-121.9665821
37.5451842,-121.965703
37.5450572,-121.9655089
37.5449939,-121.9654045
37.5448279,-121.9651337
37.544118,-121.9639761
37.5438807,-121.9636049
37.5435679,-121.9631155
37.5435223,-121.9630538
37.542523,-121.9618812
37.5423443,-121.9616801
37.5421149,-121.9614227
37.542036,-121.9613341
37.5419369,-121.9612193
37.5416987,-121.9609434
37.5415768,-121.9608023
37.5413556,-121.9604183
37.5411918,-121.960068
37.5410805,-121.9597477
37.5410252,-121.9595615
37.5409843,-121.9593825
37.5409385,-121.9591529
37.5409016,-121.9587128
37.5408953,-121.958385
37.5409222,-121.9580007
37.5411091,-121.9568068
37.5411393,-121.9566478
37.5411708,-121.9564897
37.5412038,-121.9563295
37.5412377,-121.956172
37.5412733,-121.9560127
37.5413104,-121.9558522
37.5413464,-121.9556969
37.5413849,-121.9555391
37.5414256,-121.9553838
37.5414668,-121.955228
37.54151,-121.9550711
37.5415532,-121.9549153
37.5415959,-121.9547639
37.541771,-121.9541497
37.5422574,-121.9524504
37.5422788,-121.9523729
37.5422993,-121.9522951
37.5423089,-121.9522572
37.5423182,-121.9522184
37.5423369,-121.9521389
37.5423531,-121.9520602
37.5423686,-121.9519802
37.5423814,-121.9519008
37.5423927,-121.9518206
37.5424027,-121.9517393
37.5424117,-121.9516601
37.5424195,-121.9515775
37.5424252,-121.9514962
37.5424296,-121.951416
37.5424326,-121.9513272
37.5424329,-121.9512416
37.5424313,-121.9511602
37.5424285,-121.9510816
37.5424236,-121.9509997
37.5424175,-121.9509162
37.5424112,-121.9508342
37.5424033,-121.9507555
37.5423922,-121.9506741
37.5423802,-121.9505935
37.5423668,-121.9505143
37.5423532,-121.9504405
37.5423355,-121.9503556
37.5423179,-121.9502773
37.5422984,-121.9501988
37.542275,-121.9501148
37.5422511,-121.950033
37.5422291,-121.9499574
37.5422036,-121.9498799
37.5421765,-121.9498047
37.5421486,-121.9497311
37.5421172,-121.9496595
37.5420866,-121.9495886
37.5420534,-121.949517
37.5420196,-121.9494476
37.5420534,-121.949517
37.5420196,-121.9494476
37.5419854,-121.9493795
37.5419489,-121.9493123
37.5419102,-121.9492455
37.5418832,-121.9492007
37.5416571,-121.9488407
37.5414089,-121.9484562
37.5413021,-121.9482921
37.5412664,-121.9482365
37.541189,-121.9481161
37.5411461,-121.9480493
37.5410012,-121.9478238
37.5406473,-121.9472733
37.5404443,-121.9468914
37.540419,-121.9468398
37.5401961,-121.9463337
37.5401739,-121.9462519
37.5401006,-121.9459824
37.5398253,-121.9447344
37.5397141,-121.9442201
37.5396837,-121.9440794
37.5398093,-121.9440393
37.5399004,-121.9440107
37.540598,-121.9437919
37.5396029,-121.939002
37.5396684,-121.9379821
37.5399311,-121.9350734
37.5400221,-121.9341802
37.5397004,-121.9341283
37.5397146,-121.9339596
37.539744,-121.9336529
37.5398015,-121.9330534

# comment 